category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,1.0,1.0,0,1,2,2195.0,542,239,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1600.0,820,317,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,1,2150.0,1005,50,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.5,3.0,0,1,0,3250.0,1525,134,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,2300.0,668,202,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,2550.0,860,202,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,2548.0,1391,284,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1385.0,572,251,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1795.0,500,43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,2200.0,1070,110,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.5,4.0,0,1,0,3200.0,1474,226,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,2000.0,585,95,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1.0,1.0,0,1,0,1345.0,675,253,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,2.5,2.0,0,1,0,2200.0,1082,146,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.5,2.0,0,1,2,2350.0,1451,251,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,2195.0,816,156,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,2295.0,332,258,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1631.0,499,156,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1675.0,682,94,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,3795.0,648,258,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,0.0,0,1,1,1495.0,138,258,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,2795.0,900,159,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,2595.0,1025,159,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,1499.0,540,74,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,3,4500.0,769,258,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,2600.0,800,202,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1595.0,642,274,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,0.0,0,1,0,1400.0,355,159,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1595.0,600,159,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,0.0,0,1,1,1350.0,500,313,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,3.0,0,1,0,2000.0,1198,260,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
