category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,1.0,1.0,No,only cats,2195.0,542,Redondo Beach,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,both cats and dogs,1600.0,820,Vacaville,False,False,False,False,False,False,False,False,False,Far West
apartment,2.0,2.0,No,no pets,2150.0,1005,Chatsworth,False,False,False,False,False,False,False,False,False,Far West
home,2.5,3.0,No,both cats and dogs,3250.0,1525,Ladera Ranch,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,2300.0,668,Oakland,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,no pets,2550.0,860,Oakland,False,False,False,False,False,False,False,False,False,Far West
apartment,2.0,2.0,No,both cats and dogs,2548.0,1391,Sherman Oaks,False,True,False,True,False,False,False,False,False,Far West
apartment,1.0,2.0,No,both cats and dogs,1385.0,572,Sacramento,False,False,False,True,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,1795.0,500,Carlsbad,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,both cats and dogs,2200.0,1070,Hawthorne,False,False,False,False,False,False,False,False,False,Far West
home,2.5,4.0,No,both cats and dogs,3200.0,1474,Pleasanton,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,2000.0,585,Fremont,False,True,False,True,False,True,True,True,True,Far West
apartment,1.0,1.0,No,both cats and dogs,1345.0,675,San Bernardino,False,False,False,True,False,False,False,False,False,Far West
apartment,2.5,2.0,No,both cats and dogs,2200.0,1082,Lemon Grove,False,False,False,False,False,False,False,False,False,Far West
apartment,2.5,2.0,No,only cats,2350.0,1451,Sacramento,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,both cats and dogs,2195.0,816,Long Beach,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,2295.0,332,San Francisco,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,both cats and dogs,1631.0,499,Long Beach,False,True,False,True,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,1675.0,682,Fountain Valley,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,3795.0,648,San Francisco,False,True,False,False,False,False,False,False,False,Far West
apartment,1.0,0.0,No,no pets,1495.0,138,San Francisco,False,False,False,False,False,False,False,False,False,Far West
apartment,2.0,2.0,No,both cats and dogs,2795.0,900,Los Angeles,False,False,False,False,False,False,False,False,False,Far West
apartment,2.0,2.0,No,both cats and dogs,2595.0,1025,Los Angeles,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,2.0,No,no pets,1499.0,540,Duarte,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,only dogs,4500.0,769,San Francisco,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,2600.0,800,Oakland,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,1595.0,642,Santa Clarita,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,0.0,No,both cats and dogs,1400.0,355,Los Angeles,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,1595.0,600,Los Angeles,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,0.0,No,no pets,1350.0,500,Tustin,False,False,False,False,False,False,False,False,False,Far West
home,2.0,3.0,No,both cats and dogs,2000.0,1198,San Jose,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,1280.0,700,Sacramento,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,2800.0,850,Oakland,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,no pets,3388.0,960,Hillsborough,False,False,False,False,False,False,False,False,False,Far West
apartment,2.0,2.0,No,no pets,2010.0,930,Placentia,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,3095.0,432,San Francisco,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,2095.0,798,Santa Rosa,False,False,False,False,False,False,False,False,False,Far West
apartment,1.0,1.0,No,both cats and dogs,1785.0,800,Woodland Hills,False,True,False,True,False,False,False,False,False,Far West
