category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,2.0,2.0,0,1,0,1300.0,947,36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1910.0,745,2,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
0,1,1.0,2.0,0,1,2,1025.0,500,30,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1.0,1.0,0,1,0,595.0,300,28,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,2540.0,1500,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1489.0,940,36,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,820.0,460,9,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1326.0,580,36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1538.0,481,13,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,1263.0,630,9,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,2.0,3.0,0,1,0,2050.0,936,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,2,1672.0,640,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,880.0,520,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.5,2.0,0,1,1,1000.0,815,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1656.0,802,13,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,995.0,550,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1100.0,400,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.5,3.0,0,1,0,1875.0,1152,23,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1055.0,790,9,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1200.0,670,13,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,1,1406.0,704,4,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,1.0,2.0,0,1,0,969.0,535,19,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1120.0,712,30,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,895.0,720,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,1445.0,870,36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,750.0,1100,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1.0,2.0,0,1,0,1340.0,900,9,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1450.0,636,13,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,975.0,581,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,850.0,1200,43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1025.0,805,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1365.0,500,40,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1.0,1.0,0,1,2,1455.0,763,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1545.0,805,13,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,635.0,440,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,1695.0,829,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1250.0,720,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,800.0,250,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1079.0,803,42,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,1800.0,1134,13,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1395.0,685,13,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,1,700.0,400,40,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1152.0,720,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,1100.0,800,36,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1050.0,600,38,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,785.0,460,9,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1458.0,520,13,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1.0,1.0,0,1,1,800.0,250,19,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,760.0,250,42,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1012.0,400,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1261.0,546,19,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1.0,2.0,0,1,0,1250.0,925,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1269.0,718,38,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,1305.0,751,9,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1.0,1.0,0,1,0,1332.0,652,13,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1.0,1.0,0,1,0,1555.0,675,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,875.0,400,52,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1015.0,825,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,800.0,300,23,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,850.0,250,24,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1.0,2.0,0,1,0,1400.0,1067,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1175.0,674,9,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1345.0,660,13,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1.0,1.0,0,1,0,1036.0,592,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1500.0,538,13,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,855.0,250,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,820.0,449,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,1,2000.0,887,2,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,1.0,1.0,0,1,0,1421.0,750,13,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1
