category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,2.0,2.0,No,both cats and dogs,1300.0,947,Lakewood,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,1910.0,745,Boulder,True,True,False,False,False,True,False,True,True,Rocky Mountain
apartment,1.0,2.0,No,only cats,1025.0,500,Greeley,True,True,False,True,False,False,False,True,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,595.0,300,Grand Junction,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,2540.0,1500,Denver,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1489.0,940,Lakewood,True,True,False,True,False,True,True,True,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,820.0,460,Colorado Springs,False,False,False,True,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1326.0,580,Lakewood,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,1538.0,481,Denver,True,True,False,True,False,True,True,True,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1263.0,630,Colorado Springs,False,True,False,True,False,True,False,False,False,Rocky Mountain
home,2.0,3.0,No,both cats and dogs,2050.0,936,Aurora,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,only cats,1672.0,640,Denver,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,880.0,520,Colorado Springs,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.5,2.0,No,no pets,1000.0,815,Colorado Springs,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1656.0,802,Denver,False,True,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,no pets,995.0,550,Denver,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,no pets,1100.0,400,Arvada,False,False,False,False,False,False,False,False,False,Rocky Mountain
home,1.5,3.0,No,both cats and dogs,1875.0,1152,Fort Collins,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1055.0,790,Colorado Springs,False,False,False,True,False,True,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1200.0,670,Denver,True,True,False,True,False,True,True,True,False,Rocky Mountain
apartment,1.0,1.0,No,no pets,1406.0,704,Broomfield,False,True,False,True,False,False,True,False,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,969.0,535,Englewood,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1120.0,712,Greeley,False,True,False,True,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,895.0,720,Colorado Springs,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,2.0,2.0,No,both cats and dogs,1445.0,870,Lakewood,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,no pets,750.0,1100,Arvada,False,True,False,False,False,False,False,True,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,1340.0,900,Colorado Springs,False,False,False,True,False,True,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1450.0,636,Denver,True,False,False,True,False,True,True,True,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,975.0,581,Arvada,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,no pets,850.0,1200,Manitou Springs,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,2.0,No,both cats and dogs,1025.0,805,Colorado Springs,False,True,False,True,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1365.0,500,Longmont,True,False,False,True,False,False,False,True,False,Rocky Mountain
apartment,1.0,1.0,No,only cats,1455.0,763,Broomfield,False,False,False,False,False,False,False,False,False,Rocky Mountain
apartment,1.0,1.0,No,both cats and dogs,1545.0,805,Denver,False,False,False,True,False,False,False,False,False,Rocky Mountain
