category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,2.0,2.0,0,1,0,1740.0,1600,157,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,973.0,509,109,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
1,0,2.0,3.0,0,1,0,1499.0,1544,61,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1055.0,550,137,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,949.0,625,147,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
0,1,1.0,2.0,0,1,0,1160.0,338,51,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,1649.0,738,148,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1161.0,780,148,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,2.0,2.0,0,1,0,1650.0,789,88,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,3.0,0,1,1,1899.0,1307,42,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1009.0,826,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1,0,2.0,3.0,0,1,0,1375.0,1347,61,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.5,2.0,0,1,0,1009.0,1138,67,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,690.0,750,147,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,1099.0,540,109,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,3.0,0,1,0,1499.0,1110,140,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.5,1.0,0,1,1,2350.0,880,87,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,850.0,700,48,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,2.0,0,1,0,949.0,1295,61,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1500.0,900,148,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,3.0,0,1,0,1449.0,1555,132,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,625.0,250,152,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,600.0,250,143,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1089.0,730,109,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,950.0,850,46,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1190.0,759,2,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,1.0,1.0,0,1,1,900.0,250,109,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,815.0,727,147,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,1.0,1.0,0,1,1,865.0,250,92,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1099.0,336,148,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.5,2.0,0,1,1,1450.0,1365,79,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,0,1514.0,945,111,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1095.0,790,51,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,0,1655.0,674,148,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1,0,2.0,3.0,0,1,0,1119.0,1137,115,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1334.0,626,157,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1335.0,833,158,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,2.0,3.0,0,1,0,1399.0,1412,130,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,2,1880.0,675,45,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1511.0,733,87,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
1,0,2.0,4.0,0,1,0,1549.0,1351,12,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
