category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,1.0,1.0,0,1,0,1495.0,825,121,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,2,1200.0,350,67,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
0,1,1.0,1.0,0,1,0,1400.0,678,175,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,1222.0,310,87,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1
0,1,1.0,2.0,0,1,0,2145.0,622,104,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1
1,0,1.0,4.0,0,1,1,3175.0,1500,3,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,1.0,1.0,0,1,0,1775.0,715,152,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,2,2695.0,629,20,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0
0,1,1.0,1.0,0,1,0,1799.0,817,218,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1.0,1.0,0,1,0,2240.0,760,225,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,1.0,1.0,0,1,0,1375.0,505,38,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
1,0,1.0,3.0,0,1,0,1802.0,522,218,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
0,1,1.0,1.0,0,1,0,2727.0,720,30,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
