category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,2.0,3.0,0,1,1,1395.0,1650,97,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1299.0,1119,29,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,777.0,563,97,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
1,0,1.0,1.0,0,1,0,1211.0,866,87,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,2.0,2.0,0,1,1,1010.0,1100,24,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1499.0,1665,24,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1400.0,1285,26,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1599.0,1413,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,3.0,0,1,0,800.0,500,48,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,1.0,1.0,0,1,0,780.0,620,116,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,919.0,815,60,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1073.0,784,29,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1.0,1.0,0,1,0,750.0,690,121,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
1,0,1.0,1.0,0,1,0,1076.0,700,35,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
0,1,2.0,3.0,0,1,0,1299.0,1604,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1299.0,1165,32,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1425.0,1704,84,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,3.0,3.0,0,1,2,1665.0,1395,48,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,4.0,4.0,0,1,1,1800.0,1219,97,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,625.0,645,47,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
0,1,2.0,3.0,0,1,0,1349.0,1564,26,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,1,810.0,750,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,535.0,478,47,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1068.0,657,35,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,2.0,0,1,3,1895.0,1119,97,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1200.0,540,97,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,2.5,3.0,0,1,1,1375.0,1400,97,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,3.0,3.0,0,1,2,1515.0,1170,48,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1549.0,1510,26,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,4.0,0,1,0,1175.0,1104,29,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1199.0,726,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,905.0,647,85,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
0,1,2.0,3.0,0,1,0,1375.0,1600,85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,900.0,650,24,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,3.0,3.0,0,1,0,1425.0,1419,48,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1.0,1.0,0,1,0,1500.0,609,35,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,2.0,3.0,0,1,0,1399.0,1182,24,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,2.0,2.0,0,1,2,1450.0,1274,23,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1595.0,1705,45,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1069.0,668,37,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
0,1,2.0,3.0,0,1,0,1275.0,1176,29,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,875.0,896,15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,2.0,0,1,0,1740.0,1077,67,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1300.0,595,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.5,3.0,0,1,0,1350.0,1130,35,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1048.0,816,4,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,2.0,3.0,0,1,1,1100.0,1278,54,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1110.0,807,35,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1
1,0,2.0,2.0,0,1,1,995.0,1080,97,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,899.0,900,93,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1025.0,812,35,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1650.0,1170,24,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
0,1,2.0,3.0,0,1,0,1325.0,1560,85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,3.0,0,1,0,1249.0,1100,24,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,2.0,3.0,0,1,3,1425.0,1688,24,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
