category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
home,2.0,3.0,No,no pets,1395.0,1650,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1119,Concord,False,False,False,False,False,True,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,777.0,563,Raleigh,True,True,False,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1211.0,866,Morrisville,False,True,False,True,False,True,False,False,False,Southeast
apartment,2.0,2.0,No,no pets,1010.0,1100,Charlotte,False,True,False,True,False,True,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1499.0,1665,Charlotte,False,False,False,True,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1400.0,1285,Clayton,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1599.0,1413,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,1.0,3.0,No,both cats and dogs,800.0,500,Greenville,False,True,False,True,False,False,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,780.0,620,Wilmington,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,919.0,815,Hope Mills,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1073.0,784,Concord,False,False,False,True,False,True,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,750.0,690,Youngsville,True,True,False,False,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1076.0,700,Durham,True,True,False,False,False,True,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1604,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1165,Davidson,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1425.0,1704,Monroe,False,False,False,False,False,True,False,False,False,Southeast
home,3.0,3.0,No,only cats,1665.0,1395,Greenville,False,False,False,False,False,False,False,False,False,Southeast
home,4.0,4.0,No,no pets,1800.0,1219,Raleigh,False,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,625.0,645,Greensboro,False,True,False,True,False,False,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1349.0,1564,Clayton,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,no pets,810.0,750,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,535.0,478,Greensboro,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1068.0,657,Durham,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,only dogs,1895.0,1119,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1200.0,540,Raleigh,False,True,False,False,False,False,False,True,False,Southeast
home,2.5,3.0,No,no pets,1375.0,1400,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
home,3.0,3.0,No,only cats,1515.0,1170,Greenville,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1549.0,1510,Clayton,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1175.0,1104,Concord,True,False,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1199.0,726,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,905.0,647,Mooresville,True,True,False,True,False,True,True,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1375.0,1600,Mooresville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,900.0,650,Charlotte,False,True,False,True,False,False,True,False,False,Southeast
home,3.0,3.0,No,both cats and dogs,1425.0,1419,Greenville,False,False,False,True,False,True,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1500.0,609,Durham,False,True,False,False,False,False,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1399.0,1182,Charlotte,False,False,False,False,False,True,False,False,False,Southeast
apartment,2.0,2.0,No,only cats,1450.0,1274,Chapel Hill,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1595.0,1705,Grandy,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1069.0,668,Fayetteville,False,True,False,False,False,False,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1275.0,1176,Concord,True,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,875.0,896,Burlington,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1740.0,1077,Kill Devil Hills,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1300.0,595,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,1.5,3.0,No,both cats and dogs,1350.0,1130,Durham,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1048.0,816,Asheville,True,True,False,True,False,True,True,True,True,Southeast
home,2.0,3.0,No,no pets,1100.0,1278,Hendersonville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1110.0,807,Durham,True,False,True,True,False,False,True,False,False,Southeast
apartment,2.0,2.0,No,no pets,995.0,1080,Raleigh,False,True,False,True,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,899.0,900,Oak Island,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1025.0,812,Durham,True,True,False,False,False,True,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1650.0,1170,Charlotte,False,False,False,False,False,True,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1325.0,1560,Mooresville,False,False,False,False,False,False,False,False,False,Southeast
home,1.0,3.0,No,both cats and dogs,1249.0,1100,Charlotte,False,False,False,True,False,False,False,False,False,Southeast
home,2.0,3.0,No,only dogs,1425.0,1688,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,800.0,635,Wilmington,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1350.0,1650,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1450.0,1270,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
apartment,3.0,2.0,No,no pets,1250.0,1627,Cary,True,True,False,False,False,True,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1399.0,1508,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1325.0,1210,Mooresville,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1425.0,1601,Concord,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,750.0,900,Hickory,False,False,False,False,False,False,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,635.0,617,Rocky Mount,False,True,False,False,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1025.0,772,Hampstead,False,False,False,True,False,True,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,825.0,950,Durham,False,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,795.0,650,Charlotte,False,True,False,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1239.0,624,Charlotte,False,True,False,True,False,False,True,True,True,Southeast
apartment,1.0,1.0,No,both cats and dogs,879.0,635,Charlotte,True,False,False,True,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,989.0,641,Charlotte,False,False,False,True,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,no pets,785.0,680,Charlotte,False,True,False,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,no pets,890.0,670,Charlotte,False,True,False,True,False,True,True,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1832.0,940,Oxford,True,False,False,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1201.0,720,Raleigh,True,True,False,True,False,True,True,True,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1050.0,775,Belmont,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,770.0,900,Salisbury,False,False,True,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,922.0,920,Hickory,False,True,True,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1249.0,1119,Charlotte,True,False,False,False,False,False,False,False,False,Southeast
home,2.5,4.0,No,both cats and dogs,1400.0,1395,Clayton,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1300.0,1228,Mount Holly,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1344,Mooresville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1188.0,497,Charlotte,False,True,False,False,False,False,False,True,False,Southeast
apartment,1.0,2.0,No,only dogs,1400.0,886,Durham,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1349.0,1656,Charlotte,True,False,False,False,False,True,False,False,False,Southeast
home,1.0,3.0,No,both cats and dogs,775.0,575,Carrboro,True,False,False,True,False,True,True,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1449.0,1440,Huntersville,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1399.0,1130,Monroe,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,829.0,688,Belmont,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1117,Kannapolis,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,814.0,600,Burlington,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,no pets,900.0,1224,Greensboro,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1346.0,797,Chapel Hill,False,True,False,True,False,True,False,False,False,Southeast
apartment,2.0,2.0,No,only dogs,1395.0,954,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1399.0,1289,Concord,False,False,False,False,False,False,False,False,False,Southeast
home,2.5,3.0,No,no pets,1395.0,1444,Matthews,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,979.0,950,Raleigh,True,True,False,True,False,True,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1172,Concord,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1375.0,1134,Clayton,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,719.0,696,Charlotte,False,True,False,True,False,True,True,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1499.0,1495,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1450.0,733,Durham,True,True,False,True,False,True,True,True,True,Southeast
home,2.0,3.0,No,both cats and dogs,1425.0,1575,Clayton,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1299.0,1460,Charlotte,False,False,False,False,False,True,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1399.0,1607,Concord,True,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,600.0,250,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1475.0,1463,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1425.0,1586,Gastonia,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1500.0,998,Asheville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,995.0,824,Raleigh,False,True,False,False,False,False,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1249.0,1367,Gastonia,False,False,False,False,False,True,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1700.0,885,Raleigh,True,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1000.0,703,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1026.0,669,Durham,True,True,False,False,False,True,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1499.0,1416,Matthews,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1425.0,1450,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1275.0,1244,Clayton,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1625.0,1612,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1300.0,1286,Raleigh,False,False,False,True,False,True,True,False,False,Southeast
home,1.0,3.0,No,no pets,1300.0,1002,Matthews,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,999.0,800,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,no pets,875.0,1232,Winston Salem,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.5,2.0,No,both cats and dogs,1425.0,1596,Concord,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1400.0,540,Chapel Hill,False,True,False,False,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,no pets,800.0,230,Gastonia,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,645.0,250,Charlotte,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,750.0,250,Charlotte,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,953.0,752,Apex,False,False,True,True,False,False,True,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1099.0,1100,Kernersville,True,True,True,True,False,False,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,750.0,770,High Point,True,True,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1369.0,1334,Burlington,False,True,True,True,False,False,True,True,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1595.0,1325,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,400.0,300,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,945.0,697,Chapel Hill,False,True,False,True,False,True,True,True,False,Southeast
home,4.0,4.0,No,no pets,1600.0,1224,Raleigh,False,False,False,False,False,False,False,False,False,Southeast
