category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,1.0,1.0,0,1,0,729.0,800,155,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1060.0,650,9,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1003.0,797,151,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0
0,1,1.0,1.0,0,1,1,837.0,444,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1020.0,692,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,985.0,693,9,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1581.0,703,9,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
0,1,1.0,1.0,0,1,1,1090.0,665,66,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,962.0,532,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1722.0,453,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,840.0,540,151,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,975.0,615,155,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,975.0,650,155,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,671.0,685,132,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.0,1.0,0,1,1,945.0,530,155,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,665.0,443,80,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,975.0,882,155,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1103.0,652,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1032.0,600,9,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,2.0,0,1,1,1729.0,448,9,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
0,1,1.0,2.0,0,1,1,920.0,420,9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1339.0,726,30,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,932.0,725,137,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,1,1225.0,450,35,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1.0,1.0,0,1,0,535.0,539,80,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,877.0,1003,80,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1889.0,939,80,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,1.0,0,1,0,1150.0,580,80,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
0,1,1.0,1.0,0,1,3,825.0,550,66,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
