category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,1.0,1.0,No,both cats and dogs,729.0,800,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1060.0,650,Austin,True,True,True,True,True,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1003.0,797,Round Rock,False,False,False,True,False,False,False,False,True,Southwest
apartment,1.0,1.0,No,no pets,837.0,444,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1020.0,692,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,985.0,693,Austin,False,False,True,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1581.0,703,Austin,False,False,False,True,False,False,True,False,False,Southwest
apartment,1.0,1.0,No,no pets,1090.0,665,Georgetown,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,962.0,532,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1722.0,453,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,840.0,540,Round Rock,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,975.0,615,San Antonio,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,975.0,650,San Antonio,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,671.0,685,Orange,True,False,False,True,False,True,True,True,False,Southwest
apartment,1.0,1.0,No,no pets,945.0,530,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,665.0,443,Houston,False,False,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,975.0,882,San Antonio,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1103.0,652,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1032.0,600,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,no pets,1729.0,448,Austin,True,False,True,True,True,True,False,False,True,Southwest
apartment,1.0,2.0,No,no pets,920.0,420,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1339.0,726,Cedar Park,False,False,False,True,True,True,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,932.0,725,Pearland,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1225.0,450,College Station,False,True,False,True,False,True,True,True,True,Southwest
apartment,1.0,1.0,No,both cats and dogs,535.0,539,Houston,False,False,False,True,False,True,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,877.0,1003,Houston,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1889.0,939,Houston,True,True,False,True,False,True,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1150.0,580,Houston,True,False,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,only dogs,825.0,550,Georgetown,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,885.0,660,Blanco,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,985.0,642,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,825.0,856,Fort Worth,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1155.0,697,Leander,False,False,False,False,False,False,False,False,False,Southwest
home,1.0,3.0,No,no pets,1210.0,597,Austin,True,False,True,True,False,False,True,False,False,Southwest
apartment,1.0,1.0,No,no pets,1554.0,777,Austin,False,False,True,True,False,False,False,False,True,Southwest
apartment,1.0,1.0,No,no pets,1130.0,792,Austin,False,False,True,True,False,False,True,False,False,Southwest
apartment,1.0,1.0,No,no pets,1125.0,658,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1391.0,677,Dallas,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,no pets,1050.0,508,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,2184.0,835,Austin,False,True,False,True,False,False,False,True,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,2186.0,843,Dallas,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,930.0,610,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,895.0,690,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,884.0,622,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,both cats and dogs,1050.0,579,Dallas,False,False,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,only cats,1417.0,840,Houston,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1109.0,678,Houston,False,True,False,True,False,True,True,True,False,Southwest
apartment,1.0,0.0,No,both cats and dogs,850.0,400,Houston,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,989.0,791,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1195.0,650,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1600.0,877,Austin,False,False,True,True,False,True,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1035.0,766,Austin,True,False,True,True,True,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,972.0,892,Round Rock,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1027.0,677,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1035.0,660,Leander,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,2017.0,671,Austin,False,True,False,True,False,False,False,True,False,Southwest
apartment,1.0,2.0,No,no pets,800.0,430,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,no pets,897.0,450,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,2.5,2.0,No,no pets,1739.0,1438,Pflugerville,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,both cats and dogs,1250.0,552,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,795.0,737,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1730.0,606,Dallas,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,900.0,677,Austin,False,False,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,955.0,625,Pflugerville,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1125.0,642,Austin,False,False,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,809.0,653,Humble,False,True,False,True,False,True,False,False,True,Southwest
apartment,2.0,2.0,No,both cats and dogs,565.0,900,Weslaco,False,True,False,True,False,True,True,True,True,Southwest
apartment,1.0,1.0,No,both cats and dogs,600.0,660,Abilene,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1212.0,723,Dallas,False,True,False,True,False,True,True,False,True,Southwest
home,1.0,3.0,No,both cats and dogs,635.0,520,Abilene,False,True,False,True,False,True,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1675.0,967,Odessa,True,True,False,True,False,True,False,True,False,Southwest
apartment,1.0,1.0,No,no pets,1012.0,646,San Antonio,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,959.0,774,San Antonio,True,True,True,True,False,False,True,True,False,Southwest
apartment,1.0,1.0,No,no pets,1192.0,593,Houston,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.5,2.0,No,no pets,1100.0,812,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1210.0,1166,Horseshoe Bay,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1290.0,559,Austin,False,False,True,True,True,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1786.0,650,Austin,False,True,False,True,False,False,False,True,False,Southwest
apartment,1.0,1.0,No,no pets,1200.0,640,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,915.0,696,Austin,False,True,False,True,False,False,False,False,False,Southwest
apartment,1.0,2.0,No,no pets,1258.0,531,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,2035.0,953,Austin,False,True,False,True,False,False,False,True,False,Southwest
home,1.0,3.0,No,no pets,1041.0,450,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1740.0,931,Austin,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1231.0,652,Cedar Park,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,both cats and dogs,1789.0,678,Dallas,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,no pets,1002.0,878,Round Rock,False,False,False,False,False,False,False,False,False,Southwest
apartment,1.0,1.0,No,only cats,1950.0,1055,Dallas,False,False,False,False,False,False,False,False,False,Southwest
