category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
home,1.5,3.0,No,both cats and dogs,1250.0,1500,Newport News,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,no pets,1600.0,1120,Hampton,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1549.0,431,Arlington,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1905.0,900,Alexandria,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1450.0,410,Fort Belvoir,False,True,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1410.0,651,Alexandria,False,True,False,True,False,True,False,False,False,Southeast
home,1.0,3.0,No,both cats and dogs,1889.0,561,Arlington,False,True,False,True,False,True,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1355.0,663,Richmond,True,True,False,True,False,False,False,True,False,Southeast
apartment,1.0,1.0,No,no pets,1500.0,850,Crozet,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1320.0,1099,Winchester,False,False,False,True,False,True,False,False,False,Southeast
apartment,2.5,2.0,No,only dogs,1000.0,1152,Lynchburg,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,698.0,775,Hampton,False,False,False,True,False,True,False,False,True,Southeast
apartment,1.0,1.0,No,both cats and dogs,1926.0,738,Arlington,False,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1685.0,940,Alexandria,True,False,False,True,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,995.0,632,Richmond,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1035.0,533,Richmond,False,True,False,False,False,True,False,True,False,Southeast
home,1.0,3.0,No,both cats and dogs,2038.0,740,Arlington,True,True,False,True,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1294.0,735,Alexandria,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1627.0,741,Fairfax,False,True,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1149.0,768,Hampton,False,True,False,True,False,False,True,True,True,Southeast
apartment,1.0,2.0,No,both cats and dogs,900.0,925,Roanoke,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1410.0,500,Fairfax,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1688.0,828,Gainesville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,680.0,830,Roanoke,False,True,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,2205.0,800,Arlington,False,False,False,True,False,False,False,False,False,Southeast
apartment,2.5,2.0,No,no pets,2400.0,1400,Richmond,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,850.0,250,Lorton,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,2100.0,533,Arlington,False,True,False,True,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,2200.0,861,Arlington,False,True,False,False,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1345.0,687,Alexandria,False,False,False,True,False,True,False,False,False,Southeast
