category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,2.0,2.0,No,both cats and dogs,1740.0,1600,West Palm Beach,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,973.0,509,Orlando,True,True,False,True,False,True,True,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1499.0,1544,Jacksonville,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1055.0,550,Saint Petersburg,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,949.0,625,Tallahassee,True,False,False,False,False,False,True,True,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1160.0,338,Gainesville,True,True,False,True,False,True,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1649.0,738,Tampa,False,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1161.0,780,Tampa,False,True,False,True,False,True,True,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,1650.0,789,Miami Beach,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,no pets,1899.0,1307,Fernandina Beach,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1009.0,826,Altamonte Springs,True,True,False,True,False,True,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1375.0,1347,Jacksonville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.5,2.0,No,both cats and dogs,1009.0,1138,Lady Lake,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,690.0,750,Tallahassee,False,True,False,True,False,True,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1099.0,540,Orlando,False,True,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1499.0,1110,Sarasota,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.5,1.0,No,no pets,2350.0,880,Miami,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,850.0,700,Fort Pierce,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,949.0,1295,Jacksonville,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1500.0,900,Tampa,False,False,False,False,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1449.0,1555,Ruskin,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,625.0,250,Venice,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,600.0,250,Spring Hill,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1089.0,730,Orlando,False,False,False,True,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,950.0,850,Fort Myers,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1190.0,759,Apopka,True,False,False,True,False,False,True,False,False,Southeast
apartment,1.0,1.0,No,no pets,900.0,250,Orlando,False,False,False,True,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,815.0,727,Tallahassee,False,False,False,True,False,True,True,False,False,Southeast
apartment,1.0,1.0,No,no pets,865.0,250,Naples,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1099.0,336,Tampa,False,True,False,False,False,False,False,False,False,Southeast
apartment,2.5,2.0,No,no pets,1450.0,1365,Longwood,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,2.0,No,both cats and dogs,1514.0,945,Oviedo,True,False,False,True,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1095.0,790,Gainesville,False,False,False,True,False,True,True,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1655.0,674,Tampa,False,True,False,True,False,True,False,True,False,Southeast
home,2.0,3.0,No,both cats and dogs,1119.0,1137,Palm Coast,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1334.0,626,West Palm Beach,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,no pets,1335.0,833,Westchase,False,False,False,True,False,False,False,False,False,Southeast
home,2.0,3.0,No,both cats and dogs,1399.0,1412,Riverview,False,False,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,only cats,1880.0,675,Fort Lauderdale,False,False,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1511.0,733,Miami,False,True,False,True,False,False,True,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1549.0,1351,Brandon,False,False,False,False,False,True,False,False,False,Southeast
home,2.0,4.0,No,both cats and dogs,1499.0,1425,Valrico,False,False,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1110.0,806,Jacksonville,False,False,False,False,False,False,False,False,False,Southeast
apartment,2.0,2.0,No,both cats and dogs,950.0,900,Pensacola,True,True,False,True,False,True,False,True,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1599.0,500,Tampa,False,True,False,False,False,True,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,1149.0,530,Winter Park,False,True,False,True,False,True,False,False,False,Southeast
apartment,2.0,2.0,No,no pets,1650.0,1610,Sarasota,True,True,False,False,False,False,False,False,False,Southeast
apartment,1.0,1.0,No,both cats and dogs,895.0,600,Jacksonville,False,False,False,False,False,False,False,False,False,Southeast
