category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,1.0,1.0,No,both cats and dogs,1495.0,825,New Bedford,False,False,False,True,False,True,True,False,False,New England
apartment,1.0,2.0,No,only cats,1200.0,350,Haverhill,True,True,False,False,False,True,True,True,True,New England
apartment,1.0,1.0,No,both cats and dogs,1400.0,678,South Dartmouth,False,False,False,False,False,True,True,False,False,New England
apartment,1.0,2.0,No,no pets,1222.0,310,Lowell,False,True,False,True,False,False,False,False,False,New England
apartment,1.0,2.0,No,both cats and dogs,2145.0,622,Medford,False,False,False,True,False,False,False,False,False,New England
home,1.0,4.0,No,no pets,3175.0,1500,Allston,False,False,False,False,False,False,False,False,False,New England
apartment,1.0,1.0,No,both cats and dogs,1775.0,715,Plymouth,True,True,False,True,False,True,True,False,False,New England
apartment,1.0,1.0,No,only cats,2695.0,629,Boston,True,True,False,False,False,False,False,False,True,New England
apartment,1.0,1.0,No,both cats and dogs,1799.0,817,Weymouth,False,True,False,True,False,True,True,True,False,New England
apartment,1.0,1.0,No,both cats and dogs,2240.0,760,Woburn,False,True,False,True,False,True,True,True,False,New England
apartment,1.0,1.0,No,both cats and dogs,1375.0,505,Clinton,True,True,False,True,False,False,True,True,False,New England
home,1.0,3.0,No,both cats and dogs,1802.0,522,Weymouth,True,True,False,True,False,True,True,False,True,New England
apartment,1.0,1.0,No,both cats and dogs,2727.0,720,Cambridge,True,True,False,False,False,True,True,True,False,New England
home,1.0,3.0,No,no pets,1483.0,451,Weymouth,True,True,False,True,False,True,True,True,True,New England
apartment,1.0,1.0,No,both cats and dogs,1876.0,830,Chelsea,True,True,False,True,False,False,True,True,False,New England
apartment,1.0,1.0,No,both cats and dogs,2450.0,689,Newton,False,True,False,False,False,True,True,True,False,New England
apartment,1.0,1.0,No,only cats,2775.0,535,Cambridge,True,True,False,False,False,False,False,True,True,New England
apartment,2.0,2.0,No,no pets,2395.0,1470,Woburn,False,False,False,False,False,False,False,False,False,New England
apartment,1.0,2.0,No,both cats and dogs,2695.0,570,Boston,False,True,False,False,False,False,False,True,False,New England
apartment,1.0,0.0,No,only cats,1975.0,405,Somerville,False,False,False,False,False,False,False,False,False,New England
apartment,1.0,1.0,No,both cats and dogs,2195.0,740,Somerville,False,True,False,False,False,False,False,True,False,New England
apartment,1.0,2.0,No,both cats and dogs,1525.0,1100,Fall River,False,True,False,True,False,True,True,True,False,New England
apartment,2.0,2.0,No,no pets,2395.0,1350,Reading,False,False,False,False,False,False,False,False,False,New England
apartment,1.0,2.0,No,both cats and dogs,2626.0,765,Allston,True,True,False,False,False,True,True,True,True,New England
home,1.5,3.0,No,no pets,2700.0,1000,Brighton,False,False,False,False,False,False,False,False,False,New England
apartment,1.0,1.0,No,both cats and dogs,2164.0,754,Andover,True,True,False,True,False,True,False,False,False,New England
apartment,1.0,1.0,No,both cats and dogs,2375.0,761,Watertown,False,True,False,True,False,True,True,True,False,New England
apartment,1.0,2.0,No,both cats and dogs,2085.0,647,Medford,False,True,False,False,False,False,False,False,False,New England
apartment,1.0,1.0,No,only cats,2750.0,504,Cambridge,False,True,False,False,False,True,False,True,False,New England
apartment,1.0,1.0,No,no pets,1600.0,742,Wakefield,False,False,False,False,False,False,False,False,False,New England
