category,bathrooms,bedrooms,fee,pets_allowed,price,square_feet,cityname,with_storage,with_parking,with_gym,with_pool,with_woodfloors,with_patio,with_clubhouse,with_internet,with_gated,economic_region
apartment,1.0,1.0,No,both cats and dogs,1164.0,755,Owings Mills,False,True,False,True,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,946.0,720,Baltimore,True,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,941.0,627,Baltimore,False,False,False,True,False,False,False,False,False,Mideast
apartment,2.0,1.0,No,no pets,1743.0,1130,Glen Burnie,True,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,1028.0,542,Glen Burnie,True,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1295.0,536,Gaithersburg,True,True,False,True,False,False,True,True,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,945.0,796,Baltimore,False,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1160.0,560,Hyattsville,False,True,False,True,False,False,True,False,False,Mideast
apartment,2.0,2.0,No,no pets,1575.0,800,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1587.0,723,Landover,False,False,False,True,False,True,True,True,True,Mideast
apartment,1.0,1.0,No,no pets,1245.0,800,Pasadena,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1299.0,684,Laurel,False,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1322.0,805,Annapolis,False,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1427.0,800,Frederick,False,False,False,False,False,False,False,False,False,Mideast
apartment,2.0,2.0,No,both cats and dogs,1285.0,1066,Pikesville,False,False,False,False,False,False,False,False,False,Mideast
apartment,0.0,2.0,No,no pets,990.0,1100,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,1474.0,890,Arnold,True,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1325.0,747,Silver Spring,False,False,False,True,False,True,True,True,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1177.0,695,Frederick,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,1240.0,280,Oxon Hill,False,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1425.0,770,Gaithersburg,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,1072.0,930,Lexington Park,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,998.0,730,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,2.0,2.0,No,no pets,1495.0,1600,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,1295.0,808,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,833.0,744,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,1135.0,459,Baltimore,False,False,False,True,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,951.0,754,Baltimore,True,False,False,False,False,False,False,False,False,Mideast
apartment,2.0,2.0,No,both cats and dogs,1300.0,1157,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1273.0,741,Lanham,False,True,False,True,False,True,False,True,False,Mideast
home,1.0,3.0,No,only cats,1219.0,616,Hyattsville,False,True,False,True,False,True,False,True,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1950.0,450,Baltimore,False,True,False,False,False,False,False,True,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1600.0,540,Baltimore,False,False,False,False,False,False,False,True,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,1465.0,800,Hyattsville,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1206.0,472,Rockville,False,False,False,True,False,False,False,True,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1415.0,804,Laurel,False,False,False,True,False,True,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1240.0,739,Towson,True,False,False,True,False,True,True,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1325.0,770,Columbia,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1179.0,850,Glen Burnie,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1130.0,727,Adelphi,True,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1579.0,673,Frederick,False,True,False,True,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,only cats,910.0,850,Baltimore,False,False,False,False,False,True,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,784.0,550,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1850.0,500,Baltimore,False,True,False,False,False,False,False,True,False,Mideast
home,1.0,3.0,No,both cats and dogs,1670.0,562,Oxon Hill,False,False,False,True,False,True,False,True,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1319.0,688,Hyattsville,False,True,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,900.0,660,Baltimore,True,True,False,False,False,False,False,False,False,Mideast
home,3.5,3.0,No,both cats and dogs,2190.0,1400,Baltimore,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,both cats and dogs,1800.0,650,Baltimore,True,True,False,False,False,False,False,True,False,Mideast
apartment,1.0,1.0,No,no pets,1095.0,700,Glen Burnie,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,1025.0,1100,Aberdeen,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,2.0,No,both cats and dogs,1395.0,850,Pikesville,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,no pets,1150.0,400,Owings Mills,False,False,False,False,False,False,False,False,False,Mideast
apartment,1.0,1.0,No,only cats,2000.0,750,Baltimore,True,True,False,False,False,False,False,True,False,Mideast
