category_0,category_1,bathrooms,bedrooms,fee_0,fee_1,pets_allowed,price,square_feet,cityname,with_storage_0,with_storage_1,with_parking_0,with_parking_1,with_gym_0,with_gym_1,with_pool_0,with_pool_1,with_woodfloors_0,with_woodfloors_1,with_patio_0,with_patio_1,with_clubhouse_0,with_clubhouse_1,with_internet_0,with_internet_1,with_gated_0,with_gated_1
0,1,1.5,3.0,0,1,0,1250.0,1500,63,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,2.0,0,1,1,1600.0,1120,43,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1549.0,431,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1905.0,900,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1450.0,410,36,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1410.0,651,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1.0,3.0,0,1,0,1889.0,561,4,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1355.0,663,78,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
1,0,1.0,1.0,0,1,1,1500.0,850,28,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,2.0,2.0,0,1,0,1320.0,1099,104,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,2.5,2.0,0,1,3,1000.0,1152,55,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,698.0,775,43,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0
1,0,1.0,1.0,0,1,0,1926.0,738,4,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1685.0,940,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,995.0,632,78,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1035.0,533,78,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
0,1,1.0,3.0,0,1,0,2038.0,740,4,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1294.0,735,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1627.0,741,33,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1149.0,768,43,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
1,0,1.0,2.0,0,1,0,900.0,925,79,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1410.0,500,33,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1688.0,828,39,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,680.0,830,79,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,2205.0,800,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,2.5,2.0,0,1,1,2400.0,1400,78,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,850.0,250,53,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,2100.0,533,4,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
1,0,1.0,1.0,0,1,0,2200.0,861,4,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
1,0,1.0,1.0,0,1,0,1345.0,687,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,650.0,219,56,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,750.0,450,63,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
0,1,1.5,3.0,0,1,1,1699.0,1100,78,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,2.0,4.0,0,1,1,475.0,1301,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,2105.0,714,4,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
1,0,1.5,2.0,0,1,1,1200.0,950,72,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,800.0,650,63,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1316.0,546,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,2.0,1.0,0,1,0,1125.0,735,10,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
1,0,1.0,1.0,0,1,1,900.0,400,56,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1510.0,465,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
1,0,1.0,1.0,0,1,0,1320.0,644,105,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1986.0,645,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1953.0,568,4,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1256.0,589,57,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1120.0,759,38,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,3.0,0,1,0,635.0,450,63,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1820.0,689,33,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1
1,0,1.0,1.0,0,1,0,1235.0,622,105,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1700.0,827,105,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1795.0,737,33,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,895.0,700,55,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,3.0,3.0,0,1,1,1700.0,1625,10,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1565.0,725,77,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1300.0,607,78,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,3,850.0,750,72,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,850.0,250,105,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1195.0,552,78,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,1,1.0,3.0,0,1,1,1924.0,613,77,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1450.0,683,105,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1430.0,687,105,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1565.0,709,105,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1719.0,735,4,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1463.0,638,105,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,2150.0,535,4,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1610.0,779,47,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1606.0,671,47,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1260.0,504,87,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,2.0,0,1,0,1246.0,650,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0
1,0,1.0,1.0,0,1,0,1865.0,600,4,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0
0,1,1.0,3.0,0,1,0,1530.0,606,4,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,1595.0,846,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,595.0,250,61,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,550.0,250,87,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1090.0,250,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,2200.0,690,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,635.0,672,55,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,1045.0,250,15,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,0,825.0,620,70,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
1,0,1.0,1.0,0,1,1,875.0,250,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,1.0,3.0,0,1,0,1219.0,423,65,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
1,0,2.0,2.0,0,1,0,2100.0,1118,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
